Year,Age,Sex,Mortality
1872,0,Female,0.262955
1872,0,Male,0.293463
1872,1,Female,0.136145
1872,1,Male,0.138152
1872,2,Female,0.093066
1872,2,Male,0.093273
1872,3,Female,0.053998
1872,3,Male,0.054161
1872,4,Female,0.035148
1872,4,Male,0.035531
1872,5,Female,0.02422
1872,5,Male,0.024173
1872,6,Female,0.016634
1872,6,Male,0.016137
1872,7,Female,0.011069
1872,7,Male,0.010563
1872,8,Female,0.007555
1872,8,Male,0.006932
1872,9,Female,0.006329
1872,9,Male,0.005649
1872,10,Female,0.006299
1872,10,Male,0.005798
1872,11,Female,0.006936
1872,11,Male,0.006382
1872,12,Female,0.007046
1872,12,Male,0.006354
1872,13,Female,0.007054
1872,13,Male,0.006275
1872,14,Female,0.007398
1872,14,Male,0.006454
1872,15,Female,0.007193
1872,15,Male,0.006241
1872,16,Female,0.007309
1872,16,Male,0.006482
1872,17,Female,0.007752
1872,17,Male,0.007224
1872,18,Female,0.007703
1872,18,Male,0.007915
1872,19,Female,0.008421
1872,19,Male,0.009413
1872,20,Female,0.008491
1872,20,Male,0.010443
1872,21,Female,0.009219
1872,21,Male,0.010632
1872,22,Female,0.010475
1872,22,Male,0.011609
1872,23,Female,0.010622
1872,23,Male,0.012346
1872,24,Female,0.010899
1872,24,Male,0.012655
1872,25,Female,0.010507
1872,25,Male,0.011934
1872,26,Female,0.010675
1872,26,Male,0.010757
1872,27,Female,0.011386
1872,27,Male,0.010468
1872,28,Female,0.011184
1872,28,Male,0.010185
1872,29,Female,0.012584
1872,29,Male,0.011113
1872,30,Female,0.009642
1872,30,Male,0.009396
1872,31,Female,0.010072
1872,31,Male,0.009652
1872,32,Female,0.013627
1872,32,Male,0.011905
1872,33,Female,0.012976
1872,33,Male,0.011834
1872,34,Female,0.013331
1872,34,Male,0.012352
1872,35,Female,0.01173
1872,35,Male,0.01167
1872,36,Female,0.011302
1872,36,Male,0.011409
1872,37,Female,0.013043
1872,37,Male,0.012824
1872,38,Female,0.013571
1872,38,Male,0.013643
1872,39,Female,0.01527
1872,39,Male,0.015714
1872,40,Female,0.009324
1872,40,Male,0.010806
1872,41,Female,0.009692
1872,41,Male,0.011259
1872,42,Female,0.015341
1872,42,Male,0.01646
1872,43,Female,0.01502
1872,43,Male,0.016932
1872,44,Female,0.01544
1872,44,Male,0.018174
1872,45,Female,0.012253
1872,45,Male,0.015235
1872,46,Female,0.012443
1872,46,Male,0.015452
1872,47,Female,0.015448
1872,47,Male,0.018761
1872,48,Female,0.015506
1872,48,Male,0.019083
1872,49,Female,0.017523
1872,49,Male,0.021162
1872,50,Female,0.010802
1872,50,Male,0.013944
1872,51,Female,0.011894
1872,51,Male,0.014798
1872,52,Female,0.021345
1872,52,Male,0.023047
1872,53,Female,0.022628
1872,53,Male,0.024612
1872,54,Female,0.024488
1872,54,Male,0.027527
1872,55,Female,0.021651
1872,55,Male,0.025328
1872,56,Female,0.022596
1872,56,Male,0.02558
1872,57,Female,0.028709
1872,57,Male,0.030676
1872,58,Female,0.031911
1872,58,Male,0.033571
1872,59,Female,0.038217
1872,59,Male,0.039676
1872,60,Female,0.020133
1872,60,Male,0.024129
1872,61,Female,0.022677
1872,61,Male,0.026045
1872,62,Female,0.04951
1872,62,Male,0.046022
1872,63,Female,0.052179
1872,63,Male,0.049412
1872,64,Female,0.055953
1872,64,Male,0.05417
1872,65,Female,0.04846
1872,65,Male,0.049379
1872,66,Female,0.052419
1872,66,Male,0.052136
1872,67,Female,0.070076
1872,67,Male,0.063966
1872,68,Female,0.078623
1872,68,Male,0.071955
1872,69,Female,0.092509
1872,69,Male,0.085793
1872,70,Female,0.049951
1872,70,Male,0.05431
1872,71,Female,0.052054
1872,71,Male,0.054448
1872,72,Female,0.104208
1872,72,Male,0.086815
1872,73,Female,0.11892
1872,73,Male,0.100182
1872,74,Female,0.136292
1872,74,Male,0.117356
1872,75,Female,0.120724
1872,75,Male,0.109297
1872,76,Female,0.125465
1872,76,Male,0.113218
1872,77,Female,0.171142
1872,77,Male,0.143735
1872,78,Female,0.174852
1872,78,Male,0.147038
1872,79,Female,0.19369
1872,79,Male,0.165122
1872,80,Female,0.155446
1872,80,Male,0.147115
1872,81,Female,0.168479
1872,81,Male,0.158272
1872,82,Female,0.18126
1872,82,Male,0.1697
1872,83,Female,0.195251
1872,83,Male,0.181797
1872,84,Female,0.210491
1872,84,Male,0.194955
1872,85,Female,0.227469
1872,85,Male,0.209573
1872,86,Female,0.246934
1872,86,Male,0.225606
1872,87,Female,0.26876
1872,87,Male,0.243154
1872,88,Female,0.291642
1872,88,Male,0.262145
1872,89,Female,0.315688
1872,89,Male,0.281982
1872,90,Female,0.342883
1872,90,Male,0.303425
1872,91,Female,0.370423
1872,91,Male,0.327248
1872,92,Female,0.39781300000000003
1872,92,Male,0.35263
1872,93,Female,0.429937
